AED	Eje_y	Group
0.000	0.160	Dato
0.025	0.319	Dato
0.050	0.417	Dato
0.075	0.457	Dato
0.100	0.505	Dato
0.125	0.531	Dato
0.150	0.568	Dato
0.175	0.591	Dato
0.200	0.625	Dato
0.225	0.645	Dato
0.250	0.681	Dato
0.275	0.707	Dato
0.300	0.744	Dato
0.325	0.767	Dato
0.350	0.802	Dato
0.375	0.827	Dato
0.400	0.866	Dato
0.425	0.891	Dato
0.450	0.925	Dato
0.475	0.943	Dato
0.500	0.956	Dato
0.525	0.961	Dato
0.550	0.967	Dato
0.575	0.970	Dato
0.600	0.974	Dato
0.625	0.977	Dato
0.650	0.980	Dato
0.675	0.983	Dato
0.700	0.985	Dato
0.725	0.987	Dato
0.750	0.989	Dato
0.775	0.991	Dato
0.800	0.993	Dato
0.825	0.993	Dato
0.850	0.995	Dato
0.875	0.996	Dato
0.900	0.997	Dato
0.925	0.998	Dato
0.950	0.998	Dato
0.975	0.999	Dato
1.000	1.000	Dato
0.000	0.153	Dbrb
0.025	0.305	Dbrb
0.050	0.406	Dbrb
0.075	0.447	Dbrb
0.100	0.495	Dbrb
0.125	0.521	Dbrb
0.150	0.557	Dbrb
0.175	0.577	Dbrb
0.200	0.612	Dbrb
0.225	0.633	Dbrb
0.250	0.668	Dbrb
0.275	0.692	Dbrb
0.300	0.728	Dbrb
0.325	0.753	Dbrb
0.350	0.793	Dbrb
0.375	0.819	Dbrb
0.400	0.859	Dbrb
0.425	0.882	Dbrb
0.450	0.917	Dbrb
0.475	0.936	Dbrb
0.500	0.952	Dbrb
0.525	0.957	Dbrb
0.550	0.963	Dbrb
0.575	0.967	Dbrb
0.600	0.971	Dbrb
0.625	0.974	Dbrb
0.650	0.978	Dbrb
0.675	0.981	Dbrb
0.700	0.983	Dbrb
0.725	0.984	Dbrb
0.750	0.986	Dbrb
0.775	0.988	Dbrb
0.800	0.991	Dbrb
0.825	0.992	Dbrb
0.850	0.994	Dbrb
0.875	0.995	Dbrb
0.900	0.996	Dbrb
0.925	0.997	Dbrb
0.950	0.998	Dbrb
0.975	0.999	Dbrb
1.000	1.000	Dbrb
0.000	0.182	Dbuz
0.025	0.329	Dbuz
0.050	0.425	Dbuz
0.075	0.467	Dbuz
0.100	0.520	Dbuz
0.125	0.551	Dbuz
0.150	0.590	Dbuz
0.175	0.613	Dbuz
0.200	0.648	Dbuz
0.225	0.672	Dbuz
0.250	0.711	Dbuz
0.275	0.736	Dbuz
0.300	0.770	Dbuz
0.325	0.792	Dbuz
0.350	0.828	Dbuz
0.375	0.852	Dbuz
0.400	0.888	Dbuz
0.425	0.910	Dbuz
0.450	0.941	Dbuz
0.475	0.958	Dbuz
0.500	0.969	Dbuz
0.525	0.972	Dbuz
0.550	0.977	Dbuz
0.575	0.979	Dbuz
0.600	0.981	Dbuz
0.625	0.983	Dbuz
0.650	0.985	Dbuz
0.675	0.987	Dbuz
0.700	0.988	Dbuz
0.725	0.989	Dbuz
0.750	0.991	Dbuz
0.775	0.992	Dbuz
0.800	0.994	Dbuz
0.825	0.995	Dbuz
0.850	0.996	Dbuz
0.875	0.997	Dbuz
0.900	0.998	Dbuz
0.925	0.998	Dbuz
0.950	0.999	Dbuz
0.975	1.000	Dbuz
1.000	1.000	Dbuz
0.000	0.164	DkoeA
0.025	0.305	DkoeA
0.050	0.399	DkoeA
0.075	0.440	DkoeA
0.100	0.490	DkoeA
0.125	0.515	DkoeA
0.150	0.550	DkoeA
0.175	0.571	DkoeA
0.200	0.607	DkoeA
0.225	0.630	DkoeA
0.250	0.667	DkoeA
0.275	0.692	DkoeA
0.300	0.730	DkoeA
0.325	0.753	DkoeA
0.350	0.790	DkoeA
0.375	0.817	DkoeA
0.400	0.856	DkoeA
0.425	0.883	DkoeA
0.450	0.917	DkoeA
0.475	0.936	DkoeA
0.500	0.952	DkoeA
0.525	0.958	DkoeA
0.550	0.964	DkoeA
0.575	0.967	DkoeA
0.600	0.971	DkoeA
0.625	0.973	DkoeA
0.650	0.977	DkoeA
0.675	0.978	DkoeA
0.700	0.981	DkoeA
0.725	0.983	DkoeA
0.750	0.985	DkoeA
0.775	0.987	DkoeA
0.800	0.988	DkoeA
0.825	0.989	DkoeA
0.850	0.991	DkoeA
0.875	0.992	DkoeA
0.900	0.993	DkoeA
0.925	0.994	DkoeA
0.950	0.995	DkoeA
0.975	0.996	DkoeA
1.000	1.000	DkoeA
0.000	0.174	DkoeB
0.025	0.319	DkoeB
0.050	0.417	DkoeB
0.075	0.461	DkoeB
0.100	0.514	DkoeB
0.125	0.542	DkoeB
0.150	0.577	DkoeB
0.175	0.601	DkoeB
0.200	0.634	DkoeB
0.225	0.655	DkoeB
0.250	0.689	DkoeB
0.275	0.713	DkoeB
0.300	0.746	DkoeB
0.325	0.768	DkoeB
0.350	0.803	DkoeB
0.375	0.828	DkoeB
0.400	0.865	DkoeB
0.425	0.888	DkoeB
0.450	0.924	DkoeB
0.475	0.944	DkoeB
0.500	0.958	DkoeB
0.525	0.963	DkoeB
0.550	0.968	DkoeB
0.575	0.972	DkoeB
0.600	0.975	DkoeB
0.625	0.977	DkoeB
0.650	0.980	DkoeB
0.675	0.982	DkoeB
0.700	0.985	DkoeB
0.725	0.987	DkoeB
0.750	0.989	DkoeB
0.775	0.989	DkoeB
0.800	0.992	DkoeB
0.825	0.993	DkoeB
0.850	0.995	DkoeB
0.875	0.996	DkoeB
0.900	0.997	DkoeB
0.925	0.998	DkoeB
0.950	0.999	DkoeB
0.975	0.999	DkoeB
1.000	1.000	DkoeB
