category	over_represented_pvalue	under_represented_pvalue	over_represented_FDR	numDEInCat	numInCat	term	ontology	go_term	gene_ids
GO:0005488	0	1	0	5	5	binding	MF	MF binding	group12377, group11785, group12232, group12364, group12225
GO:0005623	0	1	0	7	7	NA	NA	none	group12222, group12269, group12377, group11785, group12232, group12364, group12225
GO:0009987	0	1	0	6	8	cellular process	BP	BP cellular process	group12222, group12269, group11785, group12232, group12364, group12225
GO:0016043	0	1	0	5	5	cellular component organization	BP	BP cellular component organization	group12222, group12269, group12232, group12364, group12225
GO:0032501	0	1	0	5	5	multicellular organismal process	BP	BP multicellular organismal process	group12222, group12269, group11235, group12364, group12225
GO:0032502	0	1	0	6	15	developmental process	BP	BP developmental process	group12222, group12269, group12232, group11235, group12364, group12225
GO:0044464	0	1	0	7	7	NA	NA	none	group12222, group12269, group12377, group11785, group12232, group12364, group12225
GO:0048468	0	1	0	5	7	cell development	BP	BP cell development	group12222, group12269, group12232, group12364, group12225
GO:0048856	0	1	0	6	27	anatomical structure development	BP	BP anatomical structure development	group12222, group12269, group12232, group11235, group12364, group12225
GO:0048869	0	1	0	5	5	cellular developmental process	BP	BP cellular developmental process	group12222, group12269, group12232, group12364, group12225
GO:0050789	0	1	0	5	5	regulation of biological process	BP	BP regulation of biological process	group12377, group11785, group12232, group12364, group12225
GO:0050794	0	1	0	5	5	regulation of cellular process	BP	BP regulation of cellular process	group12377, group11785, group12232, group12364, group12225
GO:0065007	0	1	0	5	5	biological regulation	BP	BP biological regulation	group12377, group11785, group12232, group12364, group12225
GO:0071840	0	1	0	5	5	cellular component organization or biogenesis	BP	BP cellular component organization or biogenesis	group12222, group12269, group12232, group12364, group12225
GO:0050896	1.02770807775412E-11	1	5.50851529676209E-09	4	4	response to stimulus	BP	BP response to stimulus	group12222, group11785, group12364, group12225
GO:0048519	1.59051909317322E-11	1	7.99235844319545E-09	4	4	negative regulation of biological process	BP	BP negative regulation of biological process	group11785, group12232, group12364, group12225
GO:0048646	1.82704796284179E-11	1	8.1414551247276E-09	4	4	anatomical structure formation involved in morphogenesis	BP	BP anatomical structure formation involved in morphogenesis	group12269, group12232, group12364, group12225
GO:0043226	2.02523759321582E-11	1	8.1414551247276E-09	4	4	organelle	CC	CC organelle	group12269, group12377, group12232, group12364
GO:0043227	2.02523759321582E-11	1	8.1414551247276E-09	4	4	membrane-bounded organelle	CC	CC membrane-bounded organelle	group12269, group12377, group12232, group12364
GO:0044424	2.02523759321582E-11	1	8.1414551247276E-09	4	4	NA	NA	none	group12269, group12377, group12232, group12364
GO:0051171	2.76853523815094E-11	1	9.67783622379719E-09	4	4	regulation of nitrogen compound metabolic process	BP	BP regulation of nitrogen compound metabolic process	group12377, group12232, group12364, group12225
GO:0060255	2.76853523815094E-11	1	9.67783622379719E-09	4	4	regulation of macromolecule metabolic process	BP	BP regulation of macromolecule metabolic process	group12377, group12232, group12364, group12225
GO:0080090	2.76853523815094E-11	1	9.67783622379719E-09	4	4	regulation of primary metabolic process	BP	BP regulation of primary metabolic process	group12377, group12232, group12364, group12225
GO:0007275	7.16756495685367E-11	1	2.40113426054598E-08	5	35	multicellular organism development	BP	BP multicellular organism development	group12222, group12269, group11235, group12364, group12225
