category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	over_represented_FDR	go_term	gene_ids
GO:0005488	0.00028763651981542	1	1	1	binding	MF	0.0655557468249909	MF binding	group14066
GO:0005623	0.00028763651981542	1	1	1	NA	NA	0.0655557468249909	none	group14066
GO:0006793	0.00028763651981542	1	1	1	phosphorus metabolic process	BP	0.0655557468249909	BP phosphorus metabolic process	group14066
GO:0006810	0.00028763651981542	1	1	1	transport	BP	0.0655557468249909	BP transport	group14066
GO:0008152	0.00028763651981542	1	1	1	metabolic process	BP	0.0655557468249909	BP metabolic process	group14066
GO:0015833	0.00028763651981542	1	1	1	peptide transport	BP	0.0655557468249909	BP peptide transport	group14066
GO:0031300	0.00028763651981542	1	1	1	intrinsic component of organelle membrane	CC	0.0655557468249909	CC intrinsic component of organelle membrane	group14066
GO:0031984	0.00028763651981542	1	1	1	organelle subcompartment	CC	0.0655557468249909	CC organelle subcompartment	group14066
GO:0033036	0.00028763651981542	1	1	1	macromolecule localization	BP	0.0655557468249909	BP macromolecule localization	group14066
GO:0042175	0.00028763651981542	1	1	1	nuclear outer membrane-endoplasmic reticulum membrane network	CC	0.0655557468249909	CC nuclear outer membrane-endoplasmic reticulum membrane network	group14066
GO:0042886	0.00028763651981542	1	1	1	amide transport	BP	0.0655557468249909	BP amide transport	group14066
GO:0043226	0.00028763651981542	1	1	1	organelle	CC	0.0655557468249909	CC organelle	group14066
GO:0043227	0.00028763651981542	1	1	1	membrane-bounded organelle	CC	0.0655557468249909	CC membrane-bounded organelle	group14066
GO:0044422	0.00028763651981542	1	1	1	NA	NA	0.0655557468249909	none	group14066
GO:0044424	0.00028763651981542	1	1	1	NA	NA	0.0655557468249909	none	group14066
GO:0044425	0.00028763651981542	1	1	1	NA	NA	0.0655557468249909	none	group14066
GO:0044431	0.00028763651981542	1	1	1	NA	NA	0.0655557468249909	none	group14066
GO:0044432	0.00028763651981542	1	1	1	NA	NA	0.0655557468249909	none	group14066
GO:0044444	0.00028763651981542	1	1	1	NA	NA	0.0655557468249909	none	group14066
GO:0044446	0.00028763651981542	1	1	1	NA	NA	0.0655557468249909	none	group14066
GO:0044464	0.00028763651981542	1	1	1	NA	NA	0.0655557468249909	none	group14066
GO:0050789	0.00028763651981542	1	1	1	regulation of biological process	BP	0.0655557468249909	BP regulation of biological process	group14066
GO:0050794	0.00028763651981542	1	1	1	regulation of cellular process	BP	0.0655557468249909	BP regulation of cellular process	group14066
GO:0051179	0.00028763651981542	1	1	1	localization	BP	0.0655557468249909	BP localization	group14066
GO:0051234	0.00028763651981542	1	1	1	establishment of localization	BP	0.0655557468249909	BP establishment of localization	group14066
GO:0051641	0.00028763651981542	1	1	1	cellular localization	BP	0.0655557468249909	BP cellular localization	group14066
GO:0051649	0.00028763651981542	1	1	1	establishment of localization in cell	BP	0.0655557468249909	BP establishment of localization in cell	group14066
GO:0065007	0.00028763651981542	1	1	1	biological regulation	BP	0.0655557468249909	BP biological regulation	group14066
GO:0071705	0.00028763651981542	1	1	1	nitrogen compound transport	BP	0.0655557468249909	BP nitrogen compound transport	group14066
GO:0097708	0.00028763651981542	1	1	1	intracellular vesicle	CC	0.0655557468249909	CC intracellular vesicle	group14066
GO:0098588	0.00028763651981542	1	1	1	bounding membrane of organelle	CC	0.0655557468249909	CC bounding membrane of organelle	group14066
