category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	over_represented_FDR	go_term	gene_ids
GO:0005488	0.000254252855748405	1	1	1	binding	MF	0.030432111041886	MF binding	group16290
GO:0005623	0.000254252855748405	1	1	1	NA	NA	0.030432111041886	none	group16290
GO:0006613	0.000254252855748405	1	1	1	cotranslational protein targeting to membrane	BP	0.030432111041886	BP cotranslational protein targeting to membrane	group16290
GO:0006725	0.000254252855748405	1	1	1	cellular aromatic compound metabolic process	BP	0.030432111041886	BP cellular aromatic compound metabolic process	group16290
GO:0006810	0.000254252855748405	1	1	1	transport	BP	0.030432111041886	BP transport	group16290
GO:0008152	0.000254252855748405	1	1	1	metabolic process	BP	0.030432111041886	BP metabolic process	group16290
GO:0009057	0.000254252855748405	1	1	1	macromolecule catabolic process	BP	0.030432111041886	BP macromolecule catabolic process	group16290
GO:0009059	0.000254252855748405	1	1	1	macromolecule biosynthetic process	BP	0.030432111041886	BP macromolecule biosynthetic process	group16290
GO:0009892	0.000254252855748405	1	1	1	negative regulation of metabolic process	BP	0.030432111041886	BP negative regulation of metabolic process	group16290
GO:0010605	0.000254252855748405	1	1	1	negative regulation of macromolecule metabolic process	BP	0.030432111041886	BP negative regulation of macromolecule metabolic process	group16290
GO:0015833	0.000254252855748405	1	1	1	peptide transport	BP	0.030432111041886	BP peptide transport	group16290
GO:0016071	0.000254252855748405	1	1	1	mRNA metabolic process	BP	0.030432111041886	BP mRNA metabolic process	group16290
GO:0019439	0.000254252855748405	1	1	1	aromatic compound catabolic process	BP	0.030432111041886	BP aromatic compound catabolic process	group16290
GO:0033036	0.000254252855748405	1	1	1	macromolecule localization	BP	0.030432111041886	BP macromolecule localization	group16290
GO:0034641	0.000254252855748405	1	1	1	cellular nitrogen compound metabolic process	BP	0.030432111041886	BP cellular nitrogen compound metabolic process	group16290
GO:0034645	0.000254252855748405	1	1	1	cellular macromolecule biosynthetic process	BP	0.030432111041886	BP cellular macromolecule biosynthetic process	group16290
GO:0034655	0.000254252855748405	1	1	1	nucleobase-containing compound catabolic process	BP	0.030432111041886	BP nucleobase-containing compound catabolic process	group16290
GO:0042886	0.000254252855748405	1	1	1	amide transport	BP	0.030432111041886	BP amide transport	group16290
GO:0043043	0.000254252855748405	1	1	1	peptide biosynthetic process	BP	0.030432111041886	BP peptide biosynthetic process	group16290
GO:0043170	0.000254252855748405	1	1	1	macromolecule metabolic process	BP	0.030432111041886	BP macromolecule metabolic process	group16290
GO:0043226	0.000254252855748405	1	1	1	organelle	CC	0.030432111041886	CC organelle	group16290
GO:0043227	0.000254252855748405	1	1	1	membrane-bounded organelle	CC	0.030432111041886	CC membrane-bounded organelle	group16290
GO:0043228	0.000254252855748405	1	1	1	non-membrane-bounded organelle	CC	0.030432111041886	CC non-membrane-bounded organelle	group16290
GO:0043232	0.000254252855748405	1	1	1	intracellular non-membrane-bounded organelle	CC	0.030432111041886	CC intracellular non-membrane-bounded organelle	group16290
GO:0043603	0.000254252855748405	1	1	1	cellular amide metabolic process	BP	0.030432111041886	BP cellular amide metabolic process	group16290
GO:0043604	0.000254252855748405	1	1	1	amide biosynthetic process	BP	0.030432111041886	BP amide biosynthetic process	group16290
GO:0044238	0.000254252855748405	1	1	1	primary metabolic process	BP	0.030432111041886	BP primary metabolic process	group16290
GO:0044248	0.000254252855748405	1	1	1	cellular catabolic process	BP	0.030432111041886	BP cellular catabolic process	group16290
GO:0044249	0.000254252855748405	1	1	1	cellular biosynthetic process	BP	0.030432111041886	BP cellular biosynthetic process	group16290
GO:0044260	0.000254252855748405	1	1	1	cellular macromolecule metabolic process	BP	0.030432111041886	BP cellular macromolecule metabolic process	group16290
GO:0044265	0.000254252855748405	1	1	1	cellular macromolecule catabolic process	BP	0.030432111041886	BP cellular macromolecule catabolic process	group16290
GO:0044267	0.000254252855748405	1	1	1	cellular protein metabolic process	BP	0.030432111041886	BP cellular protein metabolic process	group16290
GO:0044270	0.000254252855748405	1	1	1	cellular nitrogen compound catabolic process	BP	0.030432111041886	BP cellular nitrogen compound catabolic process	group16290
GO:0044271	0.000254252855748405	1	1	1	cellular nitrogen compound biosynthetic process	BP	0.030432111041886	BP cellular nitrogen compound biosynthetic process	group16290
GO:0044391	0.000254252855748405	1	1	1	ribosomal subunit	CC	0.030432111041886	CC ribosomal subunit	group16290
GO:0044422	0.000254252855748405	1	1	1	NA	NA	0.030432111041886	none	group16290
GO:0044424	0.000254252855748405	1	1	1	NA	NA	0.030432111041886	none	group16290
GO:0044444	0.000254252855748405	1	1	1	NA	NA	0.030432111041886	none	group16290
GO:0044445	0.000254252855748405	1	1	1	NA	NA	0.030432111041886	none	group16290
GO:0044446	0.000254252855748405	1	1	1	NA	NA	0.030432111041886	none	group16290
GO:0044464	0.000254252855748405	1	1	1	NA	NA	0.030432111041886	none	group16290
GO:0046483	0.000254252855748405	1	1	1	heterocycle metabolic process	BP	0.030432111041886	BP heterocycle metabolic process	group16290
GO:0046700	0.000254252855748405	1	1	1	heterocycle catabolic process	BP	0.030432111041886	BP heterocycle catabolic process	group16290
GO:0048519	0.000254252855748405	1	1	1	negative regulation of biological process	BP	0.030432111041886	BP negative regulation of biological process	group16290
GO:0050789	0.000254252855748405	1	1	1	regulation of biological process	BP	0.030432111041886	BP regulation of biological process	group16290
GO:0051179	0.000254252855748405	1	1	1	localization	BP	0.030432111041886	BP localization	group16290
GO:0051234	0.000254252855748405	1	1	1	establishment of localization	BP	0.030432111041886	BP establishment of localization	group16290
GO:0051641	0.000254252855748405	1	1	1	cellular localization	BP	0.030432111041886	BP cellular localization	group16290
GO:0051649	0.000254252855748405	1	1	1	establishment of localization in cell	BP	0.030432111041886	BP establishment of localization in cell	group16290
GO:0060255	0.000254252855748405	1	1	1	regulation of macromolecule metabolic process	BP	0.030432111041886	BP regulation of macromolecule metabolic process	group16290
GO:0065007	0.000254252855748405	1	1	1	biological regulation	BP	0.030432111041886	BP biological regulation	group16290
GO:0070972	0.000254252855748405	1	1	1	protein localization to endoplasmic reticulum	BP	0.030432111041886	BP protein localization to endoplasmic reticulum	group16290
GO:0071704	0.000254252855748405	1	1	1	organic substance metabolic process	BP	0.030432111041886	BP organic substance metabolic process	group16290
GO:0071705	0.000254252855748405	1	1	1	nitrogen compound transport	BP	0.030432111041886	BP nitrogen compound transport	group16290
GO:0072594	0.000254252855748405	1	1	1	establishment of protein localization to organelle	BP	0.030432111041886	BP establishment of protein localization to organelle	group16290
GO:0072599	0.000254252855748405	1	1	1	establishment of protein localization to endoplasmic reticulum	BP	0.030432111041886	BP establishment of protein localization to endoplasmic reticulum	group16290
GO:0090150	0.000254252855748405	1	1	1	establishment of protein localization to membrane	BP	0.030432111041886	BP establishment of protein localization to membrane	group16290
