category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	over_represented_FDR	go_term	gene_ids
GO:0032501	0	1	5	5	multicellular organismal process	BP	0	BP multicellular organismal process	group13045, group11141, group13032, group12234, group12810
GO:0050789	1.68246110895269e-12	1	4	4	regulation of biological process	BP	4.42038615358838e-09	BP regulation of biological process	group13045, group11141, group12234, group12810
GO:0065007	1.68246110895269e-12	1	4	4	biological regulation	BP	4.42038615358838e-09	BP biological regulation	group13045, group11141, group12234, group12810
GO:0050794	2.44841001671491e-09	1	3	3	regulation of cellular process	BP	4.82459193793674e-06	BP regulation of cellular process	group11141, group12234, group12810
GO:0009987	1.00231880647291e-08	0.999999999997434	3	5	cellular process	BP	1.58005536652389e-05	BP cellular process	group13045, group11141, group12234
GO:0032502	1.75835407585856e-07	0.999999999811865	3	12	developmental process	BP	0.000230989113765286	BP developmental process	group13045, group11141, group12234
GO:0048856	3.07580664439063e-07	0.999999999558341	3	24	anatomical structure development	BP	0.000346335828158384	BP anatomical structure development	group13045, group11141, group12234
GO:0007275	9.98739484200357e-07	0.999999997814948	3	33	multicellular organism development	BP	0.000707522654140148	BP multicellular organism development	group13045, group11141, group12234
GO:0065008	1.93916343013152e-06	1	2	2	regulation of biological quality	BP	0.000707522654140148	BP regulation of biological quality	group11141, group12810
GO:0005488	2.34207305372096e-06	1	2	2	binding	MF	0.000707522654140148	MF binding	group12234, group12810
GO:0007610	2.34207305372096e-06	1	2	2	behavior	BP	0.000707522654140148	BP behavior	group12234, group12810
GO:0019098	2.34207305372096e-06	1	2	2	reproductive behavior	BP	0.000707522654140148	BP reproductive behavior	group12234, group12810
GO:0019953	2.34207305372096e-06	1	2	2	sexual reproduction	BP	0.000707522654140148	BP sexual reproduction	group12234, group12810
GO:0044703	2.34207305372096e-06	1	2	2	multi-organism reproductive process	BP	0.000707522654140148	BP multi-organism reproductive process	group12234, group12810
GO:0048609	2.34207305372096e-06	1	2	2	multicellular organismal reproductive process	BP	0.000707522654140148	BP multicellular organismal reproductive process	group12234, group12810
GO:0051704	2.34207305372096e-06	1	2	2	multi-organism process	BP	0.000707522654140148	BP multi-organism process	group12234, group12810
GO:0006810	2.38934805398282e-06	1	2	2	transport	BP	0.000707522654140148	BP transport	group13045, group11141
GO:0044425	2.38934805398282e-06	1	2	2	NA	NA	0.000707522654140148	none	group13045, group11141
GO:0046903	2.38934805398282e-06	1	2	2	secretion	BP	0.000707522654140148	BP secretion	group13045, group11141
GO:0051179	2.38934805398282e-06	1	2	2	localization	BP	0.000707522654140148	BP localization	group13045, group11141
GO:0051234	2.38934805398282e-06	1	2	2	establishment of localization	BP	0.000707522654140148	BP establishment of localization	group13045, group11141
GO:0005623	2.87245939260146e-06	1	2	2	NA	NA	0.000707522654140148	none	group11141, group12234
GO:0006950	2.87245939260146e-06	1	2	2	response to stress	BP	0.000707522654140148	BP response to stress	group11141, group12234
GO:0009628	2.87245939260146e-06	1	2	2	response to abiotic stimulus	BP	0.000707522654140148	BP response to abiotic stimulus	group11141, group12234
GO:0009889	2.87245939260146e-06	1	2	2	regulation of biosynthetic process	BP	0.000707522654140148	BP regulation of biosynthetic process	group11141, group12234
GO:0031326	2.87245939260146e-06	1	2	2	regulation of cellular biosynthetic process	BP	0.000707522654140148	BP regulation of cellular biosynthetic process	group11141, group12234
GO:0044424	2.87245939260146e-06	1	2	2	NA	NA	0.000707522654140148	none	group11141, group12234
GO:0044464	2.87245939260146e-06	1	2	2	NA	NA	0.000707522654140148	none	group11141, group12234
GO:0048731	2.87245939260146e-06	1	2	2	system development	BP	0.000707522654140148	BP system development	group11141, group12234
