TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated,number_of_TRGs,divergent_TRGs,validated_TRGs
"GO:0005575", "cellular_component", 100, 2.02345666126176, -7.5699908218157, 4.07059193151204, -300, 1, 0, null, False,13,group2599|group2649|group7772|group8591,group1728|group7814|group8369|group8496|group8518|group8525|group8809|group9097|group9250
"GO:0031984", "organelle subcompartment", 4.37776266575995, 4.83782928478026, 4.64720374146901, 2.71264970162721, -3.31315434400979, 0.835025434922649, 0, null, False,2,,group1728|group8518
"GO:0032991", "protein-containing complex", 23.4019041142469, -3.51242332262074, 3.87590207298676, 3.4399639359209, -5.51495213098361, 1, 0, null, False,5,group8591,group7814|group8496|group8525|group9097
"GO:1990234", "transferase complex", 4.1822509350561, -3.75607032606263, -2.64668899459284, 2.69284691927723, -2.88119160007262, 0.962777831625847, 0, null, False,2,,group7814|group8496
"GO:0043226", "organelle", 50.8075484529072, -0.990111928606851, -6.29456688281127, 3.77655591070326, -300, 0.974552860779187, 0.00974351, null, False,11,group2599|group2649|group7772,group1728|group7814|group8496|group8518|group8525|group8809|group9097|group9250
"GO:0031974", "membrane-enclosed lumen", 9.37606256375383, 1.56984038480113, 7.73981717879488, 3.04296907339318, -8.51065874028294, 0.985427287090329, 0.01218128, null, False,4,group2599,group7814|group9097|group9250
"GO:0012505", "endomembrane system", 11.9602176130568, -4.5974482301619, 1.11955637018613, 3.14860265480609, -1.8703257824801, 0.984488212846802, 0.01324002, null, False,4,group7772,group1728|group8518|group8809
"GO:0005622", "intracellular anatomical structure", 58.9255355321319, -1.49072246559902, 6.14493272247237, 3.84092120019877, -300, 0.972841116242294, 0.03074694, null, False,13,group2599|group2649|group7772|group8591,group1728|group7814|group8369|group8496|group8518|group8525|group8809|group9097|group9250
"GO:0005815", "microtubule organizing center", 1.75960557633458, 6.2388991429844, -4.62832181316432, 2.31806333496276, -2.3147673037487, 0.740212596806095, 0.09661032, null, False,2,,group8809|group9097
"GO:0015630", "microtubule cytoskeleton", 3.40020401224073, null, null, 2.60314437262018, -1.66017578893866, 0.71809669188658, 0.74989693, 5815, True,2,,group8809|group9097
"GO:0005654", "nucleoplasm", 4.93879632777967, 7.18709813339886, 4.15346206824501, 2.76492298464989, -2.32578015900926, 0.669796198779033, 0.13491121, null, False,4,group2599,group7814|group9097|group9250
"GO:0031981", "nuclear lumen", 7.33594015640938, null, null, 2.93651374247889, -8.51065874028294, 0.649291897299942, 0.76367822, 5654, True,4,group2599,group7814|group9097|group9250
"GO:0070013", "intracellular organelle lumen", 9.36756205372322, null, null, 3.04257551244019, -8.51065874028294, 0.640732845084819, 0.86142485, 5654, True,4,group2599,group7814|group9097|group9250
"GO:0043233", "organelle lumen", 9.37606256375383, null, null, 3.04296907339318, -8.51065874028294, 0.6525886568285, 0.90606577, 5654, True,4,group2599,group7814|group9097|group9250
"GO:0043231", "intracellular membrane-bounded organelle", 44.534172050323, 5.64009041602751, 1.14271601083795, 3.71933128698373, -300, 0.711380269866669, 0.21690209, null, False,11,group2599|group2649|group7772,group1728|group7814|group8496|group8518|group8525|group8809|group9097|group9250
"GO:0043228", "non-membrane-bounded organelle", 14.6208772526352, 8.57902724285815, 0.797631098186155, 3.23578087032756, -5.90769763429616, 0.811828703350377, 0.24387939, null, False,3,group2599,group8809|group9097
"GO:0005737", "cytoplasm", 41.6354981298878, 1.4886574051191, 0.6144705865293, 3.69010743945633, -2.58054015747451, 0.853897462417178, 0.25783292, null, False,9,group2649|group7772|group8591,group1728|group8369|group8518|group8809|group9097|group9250
"GO:1902494", "catalytic complex", 8.50051003060184, -3.45166385605006, -3.28382912687892, 3.00043407747932, -5.74549021375884, 0.962777831625847, 0.39453898, null, False,3,,group7814|group8496|group9097
"GO:0043229", "intracellular organelle", 50.0170010200612, 5.44462204361127, 0.428153939126097, 3.76974646717945, -300, 0.714642902270346, 0.44361716, null, False,11,group2599|group2649|group7772,group1728|group7814|group8496|group8518|group8525|group8809|group9097|group9250
"GO:0043227", "membrane-bounded organelle", 46.2767766065964, 7.05285683278824, 0.512501693966287, 3.73599788409179, -300, 0.741182651925386, 0.45525327, null, False,11,group2599|group2649|group7772,group1728|group7814|group8496|group8518|group8525|group8809|group9097|group9250
"GO:0043232", "intracellular non-membrane-bounded organelle", 14.6208772526352, 6.11660393622321, -2.16757304892275, 3.23578087032756, -5.90769763429616, 0.676748655115431, 0.5506142, null, False,3,group2599,group8809|group9097
"GO:0005694", "chromosome", 5.33832029921795, 6.38274280191742, -3.30709154679566, 2.79865064544527, -1.41138844724005, 0.725257205174004, 0.67653344, null, False,2,group2599,group9097
