Orthogroup	Taxa	# species	omega	M7_lnL	M8_lnL	M8a_lnL	M8vsM7	M8vsM8a	M8vsM7_cor	M8vsM8a_cor	Positive Selection
group9627	repleta group	11	0.82445	-6466.265543	-6443.763238	-6460.914495	1.68800307065453E-10	3.55880118707574E-08	True	True	True
group9776	repleta group	11	0.27758	-2865.39488	-2851.000578	-2862.58786	5.60575445285316E-07	9.28340648864712E-06	True	True	True
group9801	repleta group	11	0.65099	-4647.633154	-4633.682056	-4643.145682	8.73202804951845E-07	7.76246132506708E-05	True	True	True
group9701	repleta group	11	0.30027	-8998.682294	-8984.848192	-8987.523032	9.81580312808816E-07	0.068917854369283	True	False	False
group9693	repleta group	11	0.38247	-3870.589869	-3857.711121	-3868.990535	2.551707028009E-06	1.26302730837358E-05	True	True	True
group9584	repleta group	11	0.46164	-3356.761988	-3350.847612	-3353.642652	0.002700344288072	0.061112429786508	True	False	False
group9560	repleta group	11	0.42828	-2448.66122	-2444.750513	-2445.803722	0.020026337434865	0.348816598722108	False	False	False
group9487	repleta group	11	0.23577	-4274.157699	-4271.944403	-4273.894975	0.109339670396749	0.142192714088066	False	False	False
group9822	repleta group	11	0.27141	-3685.908437	-3683.723148	-3684.846637	0.112445232285936	0.325143388033675	False	False	False
group9974	repleta group	11	0.3148	-1964.700232	-1962.668601	-1963.99356	0.131121487505405	0.265813857233711	False	False	False
group9880	repleta group	11	0.55809	-1494.361966	-1492.546925	-1492.673531	0.162831232172843	0.881080750034092	False	False	False
group9549	repleta group	11	0.39716	-2294.122644	-2293.134199	-2293.365588	0.372154942250412	0.793430761429865	False	False	False
group10067	repleta group	11	0.10854	-2997.049085	-2996.189761	-2996.198216	0.423448236594638	0.991580642988253	False	False	False
group9611	repleta group	11	0.3057	-4515.47326	-4515.12789	-4515.262793	0.70795836040872	0.873800666241891	False	False	False
group9784	repleta group	11	0.21973	-1631.416842	-1631.416877	-1631.393658	1	1	False	False	False
group9791	repleta group	11	0.13237	-2762.658139	-2762.658422	-2762.442416	1	1	False	False	False
group9897	repleta group	11	0.14438	-939.260311	-939.260396	-939.255267	1	1	False	False	False
group12417	buzzatii cluster	5	0.00793	-588.700563	-509.120545	-588.667713	0	0	True	True	True
group12334	buzzatii cluster	5	0.10235	-393.1733	-352.583876	-393.097925	0	0	True	True	True
group12217	buzzatii cluster	5	2.05427	-1046.005539	-1005.646781	-1046.005238	0	0	True	True	True
group12293	buzzatii cluster	5	0.03962	-874.45736	-840.856058	-873.077063	2.55351295663786E-15	1.01030295240889E-14	True	True	True
group12296	buzzatii cluster	5	0.26926	-1281.525216	-1249.506003	-1279.905251	1.24344978758018E-14	6.27276008913213E-14	True	True	True
group12291	buzzatii cluster	5	0.43386	-457.50392	-432.577137	-454.798398	1.49429357776398E-11	2.23577933944341E-10	True	True	True
group12377	buzzatii cluster	5	0.38286	-442.879655	-418.984562	-442.872999	4.19269063911543E-11	4.22069046379647E-11	True	True	True
group12379	buzzatii cluster	5	0.71226	-1754.195611	-1732.131434	-1753.438366	2.61607180362944E-10	5.57849433313606E-10	True	True	True
group12243	buzzatii cluster	5	0.08219	-740.540029	-718.657674	-740.164892	3.13771897353377E-10	4.56597870623909E-10	True	True	True
group12415	buzzatii cluster	5	0.02524	-448.594589	-428.93652	-448.493713	2.90141000114374E-09	3.20936410780348E-09	True	True	True
group12241	buzzatii cluster	5	0.08854	-382.993478	-367.220419	-382.850387	1.41204167136699E-07	1.62926281355169E-07	True	True	True
group12328	buzzatii cluster	5	0.07573	-1232.291602	-1217.494906	-1229.871624	3.74866452879097E-07	4.21560264696197E-06	True	True	True
group12273	buzzatii cluster	5	1.2227	-532.865092	-518.399929	-532.644575	5.22227249444285E-07	6.51071740742637E-07	True	True	True
group12318	buzzatii cluster	5	0.00312	-346.047842	-332.044183	-345.454667	8.28491715121338E-07	1.49934231896687E-06	True	True	True
group12312	buzzatii cluster	5	0.58392	-916.55395	-903.301935	-916.270261	1.75680278569068E-06	2.3330689760126E-06	True	True	True
group12232	buzzatii cluster	5	1.10657	-585.089473	-573.309256	-578.899972	7.65449883477487E-06	0.003732354541901	True	False	False
group12214	buzzatii cluster	5	0.31452	-284.34086	-272.639115	-284.236517	8.27935906644317E-06	9.18993219267694E-06	True	True	True
